sequence,module,level,type,identifier,name,datatype,multiplicity,domain_name,definition,label_local,definition_local,element,id,semantic_path,associated_module,class_term
11,cor,3,A,,Period Covered Start,Date Time,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,accountingEntriesDocumentInformationPeriodCoveredStart,CO10-09,$.Accounting Entries.Document Information.Period Covered Start,cor,Document Information
12,cor,3,A,,Period Covered End,Date Time,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,accountingEntriesDocumentInformationPeriodCoveredEnd,CO10-10,$.Accounting Entries.Document Information.Period Covered End,cor,Document Information
13,cor,3,A,,Period Count,Decimal,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,accountingEntriesDocumentInformationPeriodCount,CO10-11,$.Accounting Entries.Document Information.Period Count,cor,Document Information
14,cor,3,A,,Period Unit,Token,0..1,,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",期間単位,"periodCountで対象とする期間の種別。_x000D_
[設定値のリスト]_x000D_
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",accountingEntriesDocumentInformationPeriodUnit,CO10-12,$.Accounting Entries.Document Information.Period Unit,cor,Document Information
15,cor,3,A,,Period Unit Description,String,0..1,,Free format description of the period unit,期間単位説明,対象期間単位の説明。,accountingEntriesDocumentInformationPeriodUnitDescription,CO10-13,$.Accounting Entries.Document Information.Period Unit Description,cor,Document Information
16,cor,3,A,,Source Application,String,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,accountingEntriesDocumentInformationSourceApplication,CO10-14,$.Accounting Entries.Document Information.Source Application,cor,Document Information
17,cor,3,A,,Target Application,String,0..1,,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。,accountingEntriesDocumentInformationTargetApplication,CO10-15,$.Accounting Entries.Document Information.Target Application,cor,Document Information
18,cor,3,A,,Default Currency,QName,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,accountingEntriesDocumentInformationDefaultCurrency,CO10-16,$.Accounting Entries.Document Information.Default Currency,cor,Document Information
19,lnk,3,C,,Summary Reporting Taxonomies,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,accountingEntriesDocumentInformationSummaryReportingTaxonomies,CO10-17,$.Accounting Entries.Document Information.Summary Reporting Taxonomies,lnk,Summary Reporting Taxonomies
20,lnk,4,A,,Summary Reporting Taxonomy ID,String,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,accountingEntriesDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomyId,LN02-01,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy ID,lnk,Summary Reporting Taxonomies
21,lnk,4,A,,Summary Reporting Taxonomy Schema Reference Href Attribute,String,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,accountingEntriesDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomySchemaReferenceHrefAttribute,LN02-02,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy Schema Reference Href Attribute,lnk,Summary Reporting Taxonomies
22,lnk,4,A,,Summary Reporting Taxonomy Header,String,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,accountingEntriesDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomyHeader,LN02-03,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy Header,lnk,Summary Reporting Taxonomies
23,lnk,4,A,,Summary Reporting Taxonomy Description,String,0..1,,A description of the taxonomy for human use.,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,accountingEntriesDocumentInformationSummaryReportingTaxonomiesSummaryReportingTaxonomyDescription,LN02-04,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.Summary Reporting Taxonomy Description,lnk,Summary Reporting Taxonomies
24,cor,2,C,,Entity_ Party,,0..1,,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,accountingEntriesEntityParty,CO23-02,$.Accounting Entries.Entity_ Party,cor,Entity_ Party
25,cor,3,A,,Party Name,String,0..1,,Name of the party,,,accountingEntriesEntityPartyName,CO14-01,$.Accounting Entries.Entity_ Party.Party Name,cor,Entity_ Party
26,cor,3,A,,Party ID,String,0..1,,ID Number of the party,,,accountingEntriesEntityPartyId,CO14-02,$.Accounting Entries.Entity_ Party.Party ID,cor,Entity_ Party
27,cor,3,A,,Party Business Description,String,0..1,,Description of the nature of the business of the party.,業種説明,事業体の事業の種類についての説明。,accountingEntriesEntityPartyBusinessDescription,CO14-03,$.Accounting Entries.Entity_ Party.Party Business Description,cor,Entity_ Party
28,bus,3,C,,Party_ Phone,,0..*,,Primary phone number of the party.,【事業体電話番号】,事業体の主要電話番号情報。,accountingEntriesEntityPartyPhone,CO14-04,$.Accounting Entries.Entity_ Party.Party_ Phone,bus,Party_ Phone
29,bus,4,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,accountingEntriesEntityPartyPhoneNumber,BU01-01,$.Accounting Entries.Entity_ Party.Party_ Phone.Phone Number,bus,Party_ Phone
30,bus,4,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",accountingEntriesEntityPartyPhoneNumberDescription,BU01-02,$.Accounting Entries.Entity_ Party.Party_ Phone.Phone Number Description,bus,Party_ Phone
31,bus,3,C,,Party_ Fax,,0..*,,Class for holding company fax information.,【事業体FAX番号】,事業体のFAX番号情報のタプル。,accountingEntriesEntityPartyFax,CO14-05,$.Accounting Entries.Entity_ Party.Party_ Fax,bus,Party_ Fax
32,bus,4,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,accountingEntriesEntityPartyFaxNumber,BU06-01,$.Accounting Entries.Entity_ Party.Party_ Fax.Fax Number,bus,Party_ Fax
33,bus,4,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),accountingEntriesEntityPartyFaxNumberUsage,BU06-02,$.Accounting Entries.Entity_ Party.Party_ Fax.Fax Number Usage,bus,Party_ Fax
34,bus,3,C,,Party_ Email,,0..*,,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,accountingEntriesEntityPartyEmail,CO14-06,$.Accounting Entries.Entity_ Party.Party_ Email,bus,Party_ Email
35,bus,4,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,accountingEntriesEntityPartyEmailAddress,BU11-01,$.Accounting Entries.Entity_ Party.Party_ Email.Email Address,bus,Party_ Email
36,bus,4,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),accountingEntriesEntityPartyEmailAddressUsage,BU11-02,$.Accounting Entries.Entity_ Party.Party_ Email.Email Address Usage,bus,Party_ Email
37,bus,3,C,,Registered_ Organization Identifier,,0..*,,Class which contains various identifiers for theparty.,【識別子】,組織に関する様々な識別子を含むセクション。,accountingEntriesEntityPartyRegisteredOrganizationIdentifier,CO14-07,$.Accounting Entries.Entity_ Party.Registered_ Organization Identifier,bus,Organization Identifier
38,bus,4,A,PK,Organization Identifier Code,String,0..1,,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。,accountingEntriesEntityPartyRegisteredOrganizationIdentifierOrganizationIdentifierCode,BU30-01,$.Accounting Entries.Entity_ Party.Registered_ Organization Identifier.Organization Identifier Code,bus,Organization Identifier
39,bus,4,A,,Organization Identifier Description,String,0..1,,Text describing the organization identified by the organization identifier. Includes any relevant information about the code itself (e.g. issuing authority).,事業体説明,事業体識別子によって特定された組織の説明文。 コードに関するなんらかの記述情報。,accountingEntriesEntityPartyRegisteredOrganizationIdentifierOrganizationIdentifierDescription,BU30-02,$.Accounting Entries.Entity_ Party.Registered_ Organization Identifier.Organization Identifier Description,bus,Organization Identifier
40,bus,3,C,,Party_ Address,,0..*,,Address class for the party,【住所】,報告事業体の住所構造体。,accountingEntriesEntityPartyAddress,CO14-08,$.Accounting Entries.Entity_ Party.Party_ Address,bus,Party_ Address
41,bus,4,A,,Name,String,0..1,,Address Name,住所名,住所の名前。,accountingEntriesEntityPartyAddressName,BU21-01,$.Accounting Entries.Entity_ Party.Party_ Address.Name,bus,Party_ Address
42,bus,4,A,,Description,String,0..1,,Address Description,住所説明,住所の説明。,accountingEntriesEntityPartyAddressDescription,BU21-02,$.Accounting Entries.Entity_ Party.Party_ Address.Description,bus,Party_ Address
43,bus,4,A,,Purpose,String,0..1,,Address Purpose,住所目的,住所の目的。,accountingEntriesEntityPartyAddressPurpose,BU21-03,$.Accounting Entries.Entity_ Party.Party_ Address.Purpose,bus,Party_ Address
44,bus,4,A,,Location ID,String,0..1,,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,accountingEntriesEntityPartyAddressLocationId,BU21-04,$.Accounting Entries.Entity_ Party.Party_ Address.Location ID,bus,Party_ Address
45,bus,4,A,,Building Number,String,0..1,,Building Number,住所建物番号,建物番号。,accountingEntriesEntityPartyAddressBuildingNumber,BU21-05,$.Accounting Entries.Entity_ Party.Party_ Address.Building Number,bus,Party_ Address
46,bus,4,A,,Street,String,0..1,,Street address,住所通り,住所の通り。,accountingEntriesEntityPartyAddressStreet,BU21-06,$.Accounting Entries.Entity_ Party.Party_ Address.Street,bus,Party_ Address
47,bus,4,A,,Address Detail,String,0..1,,Address Detail,住所詳細,住所詳細。,accountingEntriesEntityPartyAddressDetail,BU21-07,$.Accounting Entries.Entity_ Party.Party_ Address.Address Detail,bus,Party_ Address
48,bus,4,A,,City,String,0..1,,City,住所都市,住所の都市。,accountingEntriesEntityPartyAddressCity,BU21-08,$.Accounting Entries.Entity_ Party.Party_ Address.City,bus,Party_ Address
49,bus,4,A,,State or Province,String,0..1,,"State, province or region",住所州,住所の州や地方。,accountingEntriesEntityPartyAddressStateOrProvince,BU21-09,$.Accounting Entries.Entity_ Party.Party_ Address.State or Province,bus,Party_ Address
50,bus,4,A,,Country,String,0..1,,Country,住所国,住所の国。,accountingEntriesEntityPartyAddressCountry,BU21-10,$.Accounting Entries.Entity_ Party.Party_ Address.Country,bus,Party_ Address
51,bus,4,A,,Zip or Postal Code,String,0..1,,Zip or other postal code,住所郵便番号,住所の郵便番号。,accountingEntriesEntityPartyAddressZipOrPostalCode,BU21-11,$.Accounting Entries.Entity_ Party.Party_ Address.Zip or Postal Code,bus,Party_ Address
52,bus,4,A,,Active Indicator,Boolean,0..1,,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。,accountingEntriesEntityPartyAddressActiveIndicator,BU21-12,$.Accounting Entries.Entity_ Party.Party_ Address.Active Indicator,bus,Party_ Address
53,bus,3,C,,Party_ Web Site,,0..*,,Primary web site of the party.,【事業体Webサイト】,事業体の代表ウェブサイト。,accountingEntriesEntityPartyWebSite,CO14-09,$.Accounting Entries.Entity_ Party.Party_ Web Site,bus,Party_ Web Site
54,bus,4,A,PK,Web Site URL,anyURI,0..1,,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。,accountingEntriesEntityPartyWebSiteWebSiteUrl,BU16-01,$.Accounting Entries.Entity_ Party.Party_ Web Site.Web Site URL,bus,Party_ Web Site
55,bus,4,A,,Web Site Description,String,0..1,,Description of the web site.,Webサイト説明,ウェブサイトの説明。,accountingEntriesEntityPartyWebSiteWebSiteDescription,BU16-02,$.Accounting Entries.Entity_ Party.Party_ Web Site.Web Site Description,bus,Party_ Web Site
56,bus,3,C,,Party_ Contact,,0..*,,Information about contacts.,【担当者情報】,担当者に関する情報。,accountingEntriesEntityPartyContact,CO14-10,$.Accounting Entries.Entity_ Party.Party_ Contact,bus,Party_ Contact
57,bus,4,A,,Contact Prefix,String,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など),accountingEntriesEntityPartyContactPrefix,BU22-01,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Prefix,bus,Party_ Contact
58,bus,4,A,,Contact Last Name,String,0..1,,Last or family name,姓,姓,accountingEntriesEntityPartyContactLastName,BU22-02,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Last Name,bus,Party_ Contact
59,bus,4,A,,Contact First Name,String,0..1,,First or given name,名,名、クリスチャンネーム,accountingEntriesEntityPartyContactFirstName,BU22-03,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact First Name,bus,Party_ Contact
60,bus,4,A,,Contact Suffix,String,0..1,,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など),accountingEntriesEntityPartyContactSuffix,BU22-04,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Suffix,bus,Party_ Contact
61,bus,4,A,,Contact Attention Line,String,0..1,,Attention Line,アテンションライン,アテンションライン,accountingEntriesEntityPartyContactAttentionLine,BU22-05,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Attention Line,bus,Party_ Contact
62,bus,4,A,,Contact Position Role,String,0..1,,Position or role,地位/役職,地位や役職。,accountingEntriesEntityPartyContactPositionRole,BU22-06,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Position Role,bus,Party_ Contact
63,bus,4,A,,Contact Contact Type,String,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,accountingEntriesEntityPartyContactContactType,BU22-07,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Contact Type,bus,Party_ Contact
64,bus,4,A,,Contact Location ID cross reference,String,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,accountingEntriesEntityPartyContactLocationIdCrossReference,BU22-08,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Location ID cross reference,bus,Party_ Contact
65,bus,4,A,,Contact Active,Boolean,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。,accountingEntriesEntityPartyContactActive,BU22-09,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact Active,bus,Party_ Contact
66,bus,4,C,,Contact_ Phone,,0..*,,Contact Phone Number,【担当者電話番号】,担当者の電話番号。,accountingEntriesEntityPartyContactPhone,BU22-10,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Phone,bus,Contact_ Phone
67,bus,5,A,PK,Phone Number,String,0..1,,Phone number referred to in Phone Number Description'\.,電話番号,電話番号用途で示される電話番号。,accountingEntriesEntityPartyContactPhoneNumber,BU03-01,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Phone.Phone Number,bus,Contact_ Phone
68,bus,5,A,,Phone Number Description,String,0..1,,"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",電話番号用途,"代表、IR用などの、電話番号の用途。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",accountingEntriesEntityPartyContactPhoneNumberDescription,BU03-02,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Phone.Phone Number Description,bus,Contact_ Phone
69,bus,4,C,,Contact_ Fax,,0..*,,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。,accountingEntriesEntityPartyContactFax,BU22-11,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Fax,bus,Contact_ Fax
70,bus,5,A,PK,Fax Number,String,0..1,,Fax Number,FAX番号,FAX番号。,accountingEntriesEntityPartyContactFaxNumber,BU08-01,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Fax.Fax Number,bus,Contact_ Fax
71,bus,5,A,,Fax Number Usage,String,0..1,,"Fax number usage (e.g. orders, head office, IR)",FAX番号用途,FAX番号の用途。(注文、本社、IRなど),accountingEntriesEntityPartyContactFaxNumberUsage,BU08-02,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Fax.Fax Number Usage,bus,Contact_ Fax
72,bus,4,C,,Contact_ Email,,0..*,,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,accountingEntriesEntityPartyContactEmail,BU22-12,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Email,bus,Contact_ Email
73,bus,5,A,PK,Email Address,String,0..1,,Email Address,Eメールアドレス,Eメールアドレス。,accountingEntriesEntityPartyContactEmailAddress,BU13-01,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Email.Email Address,bus,Contact_ Email
74,bus,5,A,,Email Address Usage,String,0..1,,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),accountingEntriesEntityPartyContactEmailAddressUsage,BU13-02,$.Accounting Entries.Entity_ Party.Party_ Contact.Contact_ Email.Email Address Usage,bus,Contact_ Email
75,cor,3,A,,Default Accounting Method Purpose,Token,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",accountingEntriesEntityPartyDefaultAccountingMethodPurpose,CO14-11,$.Accounting Entries.Entity_ Party.Default Accounting Method Purpose,cor,Entity_ Party
76,cor,3,A,,Default Accounting Method Purpose Description,String,0..1,,Free format description of the default accounting method purpose,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,accountingEntriesEntityPartyDefaultAccountingMethodPurposeDescription,CO14-12,$.Accounting Entries.Entity_ Party.Default Accounting Method Purpose Description,cor,Entity_ Party
77,cor,3,A,,Fiscal Year Start,Date,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,accountingEntriesEntityPartyFiscalYearStart,CO14-13,$.Accounting Entries.Entity_ Party.Fiscal Year Start,cor,Entity_ Party
