sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local
31,1,Class,,cor,Identifier_ Fax,,,,,,0..*,Fax number class related to identifier.,【CVEFAX番号】,CVE識別子のFAX番号の構造体。
32,2,Specialization,,cor,Identifier_ Fax,,,,bus,Fax,1,Fax number information.,【FAX番号】,FAX番号情報。
33,1,Class,,cor,Identifier_ Contact_ Fax,,,,,,0..*,Fax Number,【CVE担当者FAX番号】,FAX番号。
34,2,Specialization,,cor,Identifier_ Contact_ Fax,,,,bus,Contact_ Fax,1,Fax number information.,【FAX番号】,FAX番号情報。
35,1,Abstract Class,,bus,Email,,,,,,0..*,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
36,2,Attribute,PK,bus,Email,Email Address,,String,,,0..1,Email Address,Eメールアドレス,Eメールアドレス。
37,2,Attribute,,bus,Email,Email Address Usage,,String,,,0..1,"Email address usage (e.g. orders, head office, IR)",Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど)
38,1,Class,,bus,Party_ Email,,,,,,0..*,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。
39,2,Specialization,,bus,Party_ Email,,,,bus,Email,1,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
40,1,Class,,bus,Entity_ Party_ Email,,,,,,0..*,Class for holding company email information.,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。
41,2,Specialization,,bus,Entity_ Party_ Email,,,,bus,Email,1,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
42,1,Class,,bus,Contact_ Email,,,,,,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。
43,2,Specialization,,bus,Contact_ Email,,,,bus,Email,1,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
44,1,Class,,bus,Accountant_ Contact_ Email,,,,,,0..*,Accountant contact E-mail address class,【会計事務所担当者Eメールアドレス】,会計事務所の担当者のEメールアドレスの構造体。
45,2,Specialization,,bus,Accountant_ Contact_ Email,,,,bus,Contact_ Email,1,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
46,1,Class,,bus,Entity_ Party_ Contact_ Email,,,,,,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。
47,2,Specialization,,bus,Entity_ Party_ Contact_ Email,,,,bus,Contact_ Email,1,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
48,1,Class,,cor,Identifier_ Email,,,,,,0..*,Email address for Identifier.,【CVEEメールアドレス】,CVE識別子のEメールアドレス。
49,2,Specialization,,cor,Identifier_ Email,,,,bus,Email,1,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
50,1,Class,,cor,Identifier_ Contact_ Email,,,,,,0..*,Email Address,【CVE担当者Eメールアドレス】,Eメールアドレス。
51,2,Specialization,,cor,Identifier_ Contact_ Email,,,,bus,Contact_ Email,1,Email address information.,【Eメールアドレス】,Eメールアドレス情報。
52,1,Abstract Class,,bus,Web Site,,,,,,0..*,Web site information.,【Webサイト】,ウェブサイト情報。
53,2,Attribute,PK,bus,Web Site,Web Site URL,,anyURI,,,0..1,Valid URL of the web site. Should be full URL.,WebサイトURL,ウェブサイトの有効なURL。 完全なURLであるべき。
54,2,Attribute,,bus,Web Site,Web Site Description,,String,,,0..1,Description of the web site.,Webサイト説明,ウェブサイトの説明。
55,1,Class,,bus,Party_ Web Site,,,,,,0..*,Primary web site of the entity.,【事業体Webサイト】,事業体の代表ウェブサイト。
56,2,Specialization,,bus,Party_ Web Site,,,,bus,Web Site,1,Web site information.,【Webサイト】,ウェブサイト情報。
57,1,Class,,bus,Entity_ Party_ Web Site,,,,,,0..*,Primary web site of the entity.,【事業体Webサイト】,事業体の代表ウェブサイト。
58,2,Specialization,,bus,Entity_ Party_ Web Site,,,,bus,Web Site,1,Web site information.,【Webサイト】,ウェブサイト情報。
59,1,Class,,cor,Identifier_ Web Site,,,,,,0..*,Primary web site of the entity.,【事業体Webサイト】,事業体の代表ウェブサイト。
60,2,Specialization,,cor,Identifier_ Web Site,,,,bus,Web Site,1,Web site information.,【Webサイト】,ウェブサイト情報。
61,1,Abstract Class,,bus,Address,,,,,,0..*,Class which contains address information.,【住所】,住所情報。
62,2,Attribute,,bus,Address,Name,,String,,,0..1,Address Name,住所名,住所の名前。
63,2,Attribute,,bus,Address,Description,,String,,,0..1,Address Description,住所説明,住所の説明。
64,2,Attribute,,bus,Address,Purpose,,String,,,0..1,Address Purpose,住所目的,住所の目的。
65,2,Attribute,,bus,Address,Location ID,,String,,,0..1,A code used to identify the location and to associate it with contacts and transactions,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。
66,2,Attribute,,bus,Address,Building Number,,String,,,0..1,Building Number,住所建物番号,建物番号。
67,2,Attribute,,bus,Address,Street,,String,,,0..1,Street address,住所通り,住所の通り。
68,2,Attribute,,bus,Address,Address Detail,,String,,,0..1,Address Detail,住所詳細,住所詳細。
69,2,Attribute,,bus,Address,City,,String,,,0..1,City,住所都市,住所の都市。
70,2,Attribute,,bus,Address,State or Province,,String,,,0..1,"State, province or region",住所州,住所の州や地方。
71,2,Attribute,,bus,Address,Country,,String,,,0..1,Country,住所国,住所の国。
72,2,Attribute,,bus,Address,Zip or Postal Code,,String,,,0..1,Zip or other postal code,住所郵便番号,住所の郵便番号。
73,2,Attribute,,bus,Address,Active Indicator,,Boolean,,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。
74,1,Class,,bus,Party_Address,,,,,,0..*,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。
75,2,Specialization,,bus,Party_Address,,,,bus,Address,1,Class which contains address information.,【住所】,住所情報。
76,1,Class,,cor,Identifier_ Address,,,,,,0..*,"Address (block) of customer, vendor, employee for integration purposes, VAT.",【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。
77,2,Specialization,,cor,Identifier_ Address,,,,bus,Address,1,Class which contains address information.,【住所】,住所情報。
78,2,Attribute,,cor,Identifier_ Address,Name,,String,,,0,Address Name,住所名,住所の名前。
79,2,Attribute,,cor,Identifier_ Address,Active Indicator,,Boolean,,,0,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",住所有効性,住所が有効か無効かを示すブール値。
80,1,Class,,bus,Accountant_ Address,,,,,,0..*,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。
81,2,Specialization,,bus,Accountant_ Address,,,,bus,Address,1,Class which contains address information.,【住所】,住所情報。
82,1,Class,,bus,Organization_ Address,,,,,,0..*,Address class for the reporting entity,【住所】,報告事業体の住所構造体。
83,2,Specialization,,bus,Organization_ Address,,,,bus,Address,1,Class which contains address information.,【住所】,住所情報。
84,1,Class,,bus,Party_ Address,,,,,,0..*,Address class for the party,【住所】,報告事業体の住所構造体。
85,2,Specialization,,bus,Party_ Address,,,,bus,Address,1,,,
86,1,Class,,cor,Entity_ Party_ Address,,,,,,0..*,Address class for the party,【住所】,報告事業体の住所構造体。
87,2,Specialization,,cor,Entity_ Party_ Address,,,,bus,Party_ Address,1,,,
88,1,Class,,cor,Document Information,,,,,,1..1,Parent for descriptive information about the accountingEntries Class in which it is contained.,【文書情報】,この会計仕訳に関する情報の親タグ。
89,2,Attribute,,cor,Document Information,Document Type,,Token,,,1..1,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] classs to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] class, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",文書種別,・科目:科目体系ファイルの情報。_x000D_ ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。_x000D_ ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。_x000D_ ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。_x000D_ ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。_x000D_ ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。_x000D_ ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。_x000D_ ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。_x000D_ ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。_x000D_ [設定値のリスト]_x000D_ (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)_x000D_、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他)
90,2,Attribute,PK,cor,Document Information,Audit Number,,String,,,0..1,Unique identifier for this file.,監査番号,このファイルの一意識別子。
91,2,Attribute,,cor,Document Information,Revises Audit Number,,String,,,0..1,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。
92,2,Attribute,,cor,Document Information,Action to Take with Previous Data,,Token,,,0..1,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。_x000D_
補完-元々含まれていたかのように、そのデータに所属させる。_x000D_
[設定値のリスト]_x000D_
(supplement：補完)、(supersede：取替え)"
93,2,Attribute,,cor,Document Information,Language,,QName,,,0..1,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。
94,2,Attribute,,cor,Document Information,Creation Date,,Date Time,,,0..1,Date/time file was created.,作成日付,ファイルが作成された日付/時間。
95,2,Attribute,,cor,Document Information,Creator,,String,,,0..1,Identifies the creator of the XBRL instance.,作成者,ファイルの作成者の識別子。
96,2,Attribute,,cor,Document Information,Document Comment,,String,,,0..1,Text for entire document.,文書コメント,文書全体に対する説明文。
97,2,Attribute,,cor,Document Information,Period Covered Start,,Date Time,,,0..1,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
98,2,Attribute,,cor,Document Information,Period Covered End,,Date Time,,,0..1,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
99,2,Attribute,,cor,Document Information,Period Count,,Decimal,,,0..1,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。
100,2,Attribute,,cor,Document Information,Period Unit,,Token,,,0..1,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",期間単位,"periodCountで対象とする期間の種別。_x000D_
[設定値のリスト]_x000D_
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)"
101,2,Attribute,,cor,Document Information,Period Unit Description,,String,,,0..1,Free format description of the period unit,期間単位説明,対象期間単位の説明。
102,2,Attribute,,cor,Document Information,Source Application,,String,,,0..1,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。
103,2,Attribute,,cor,Document Information,Target Application,,String,,,0..1,Particular use for which file was generated.,対象アプリケーション,ファイルが作成された用途。
104,2,Attribute,,cor,Document Information,Default Currency,,QName,,,0..1,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。
105,2,Composition,,cor,Document Information,,,,lnk,Summary Reporting Taxonomies,0..*,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
106,1,Abstract Class,,bus,Contact,,,,,,0..*,Information about contacts.,【担当者情報】,担当者に関する情報。
107,2,Attribute,,bus,Contact,Contact Prefix,,String,,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",敬称,敬称(Dr.、Mr.、Mrs.など)
108,2,Attribute,,bus,Contact,Contact Last Name,,String,,,0..1,Last or family name,姓,姓
109,2,Attribute,,bus,Contact,Contact First Name,,String,,,0..1,First or given name,名,名、クリスチャンネーム
110,2,Attribute,,bus,Contact,Contact Suffix,,String,,,0..1,"Suffix (e.g. MD, CPA, Jr.)",付加名称,付加名称(MD、CPA、Jr.など)
111,2,Attribute,,bus,Contact,Contact Attention Line,,String,,,0..1,Attention Line,アテンションライン,アテンションライン
112,2,Attribute,,bus,Contact,Contact Position Role,,String,,,0..1,Position or role,地位/役職,地位や役職。
113,2,Attribute,,bus,Contact,Contact Contact Type,,String,,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。
114,2,Attribute,,bus,Contact,Contact Location ID cross reference,,String,,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。
115,2,Attribute,,bus,Contact,Contact Active,,Boolean,,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",担当者有効性,担当者が有効か無効かを示すブール値。
116,2,Composition,,bus,Contact,,,,bus,Contact_ Phone,0..*,Contact Phone Number,【担当者電話番号】,担当者の電話番号。
117,2,Composition,,bus,Contact,,,,bus,Contact_ Fax,0..*,Contact Fax Number Class,【担当者FAX番号】,担当者のFAX番号の構造体。
118,2,Composition,,bus,Contact,,,,bus,Contact_ Email,0..*,Contact E-mail address class,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。
119,1,Class,,bus,Party_ Contact,,,,,,0..*,Information about contacts.,【担当者情報】,担当者に関する情報。
120,2,Specialization,,bus,Party_ Contact,,,,bus,Contact,1,,,
121,1,Class,,bus,Entity_ Party_ Contact,,,,,,0..*,Information about contacts.,【担当者情報】,担当者に関する情報。
122,2,Specialization,,bus,Entity_ Party_ Contact,,,,bus,Contact,1,,,
123,1,Class,,cor,Identifier_ Contact,,,,,,0..*,Identifier Contact Information Class,【CVE担当者情報】,CVE識別子の担当者情報の構造体。
124,2,Specialization,,cor,Identifier_ Contact,,,,bus,Contact,1,,,
125,1,Class,,bus,Accountant_ Contact,,,,,,0..*,Accountant Contact Information Class,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。
126,2,Specialization,,bus,Accountant_ Contact,,,,bus,Contact,1,,,
127,1,Class,,bus,Accounting Method Structure,,,,,,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。
128,2,Attribute,,bus,Accounting Method Structure,Accounting Method,,Token,,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他_x000D_
[設定値のリスト]_x000D_
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
129,2,Attribute,,bus,Accounting Method Structure,Accounting Method Description,,String,,,0..1,Free format description of the accounting method,会計処理方法説明,会計処理方法の説明。
130,2,Attribute,,bus,Accounting Method Structure,Accounting Method Purpose,,Token,,,0..1,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。_x000D_
[設定値のリスト]_x000D_
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
131,2,Attribute,,bus,Accounting Method Structure,Accounting Method Purpose Description,,String,,,0..1,Free format description of the accounting method purpose,会計処理方法目的説明,会計処理方法の目的の説明。
132,2,Attribute,,bus,Accounting Method Structure,Accounting Method Start Date,,Date Time,,,0..1,Accounting Method Start Date,会計処理方法開始日付,会計処理方法の開始日。
133,2,Attribute,,bus,Accounting Method Structure,Accounting Method End Date,,Date Time,,,0..1,Accounting Method End Date,会計処理方法終了日付,会計処理方法の終了日。
134,1,Class,,bus,Accountant,,,,,,0..*,Information about the relevant external accountant,【会計事務所情報】,関連する外部会計事務所に関する情報。
135,2,Attribute,,bus,Accountant,Accountant Name,,String,,,0..1,Name of the accountant,会計事務所名,会計事務所の名前。
136,2,Attribute,,bus,Accountant,Accountant Type of Engagement,,Token,,,0..1,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",契約種別,"外部会計事務所によって実行される契約の種別。_x000D_
[設定値のリスト]_x000D_
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)"
137,2,Attribute,,bus,Accountant,Accountant Type of Engagement Description,,String,,,0..1,Free format description of the type of engagement,契約種別説明,契約種別の説明。
138,2,Composition,,bus,Accountant,,,,bus,Accountant_ Address,0..*,Class which contains accountant address information.,【会計事務所住所】,会計事務所の住所情報を含むセクション。
139,2,Composition,,bus,Accountant,,,,bus,Accountant_ Contact,0..*,Accountant Contact Information Class,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。
140,1,Class,,bus,Period,,,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
141,2,Attribute,PK,bus,Period,Period ID,,String,,,0..1,An identifier for this period in this calendar,報告期間識別子,このカレンダーにおけるこの期間の識別子。
142,2,Attribute,,bus,Period,Period Description,,String,,,0..1,A description of this specific reporting period in this calendar.,期間説明,このカレンダーにおけるこの特定の期間の説明。
143,2,Attribute,,bus,Period,Period Start Date,,Date Time,,,0..1,The beginning date/time of a period,期間開始日付,期間の開始日付/時刻
144,2,Attribute,,bus,Period,Period End Date,,Date Time,,,0..1,The ending date/time of a period,期間終了日付,期間の終了日付/時刻
145,1,Class,,bus,Reporting Calendar_ Period,,,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
146,2,Specialization,,bus,Reporting Calendar_ Period,,,,bus,Period,1,,,
147,2,Attribute,,bus,Reporting Calendar_ Period,Reporting Calendar_ Period Closed Date,,Date Time,,,0..1,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。"
148,1,Class,,bus,Reporting Calendar,,,,,,0..*,A tool to collect the periods used to summarise results from transactions.,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。
149,2,Attribute,PK,bus,Reporting Calendar,Reporting Calendar Code,,String,,,0..1,"The code used to identify this specific reporting calendar, unique across periods",報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。
150,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Description,,String,,,0..1,A description of the reporting calendar (associated with the reportingCalendarCode given),報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。
151,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Title,,String,,,0..1,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。
152,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Period Type,,Token,,,0..1,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他_x000D_
[設定値のリスト]_x000D_
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)"
153,2,Attribute,,bus,Reporting Calendar,Reporting Calendar Period Type Description,,String,,,0..1,A description of the type of period involved.,期間種別説明,報告期間の種別の説明。
